,GEO_ID,NAME,H016H001,H016H002,H016H003,H016H004,H016H005,H016H006,H016H007,H016H008,H016H009,H016H010,H016H011,H016H012,H016H013,H016H014,H016H015,H016H016,H016H017
0,id,Geographic Area Name,Total,Total!!Owner occupied,Total!!Owner occupied!!1-person household,Total!!Owner occupied!!2-person household,Total!!Owner occupied!!3-person household,Total!!Owner occupied!!4-person household,Total!!Owner occupied!!5-person household,Total!!Owner occupied!!6-person household,Total!!Owner occupied!!7-or-more-person household,Total!!Renter occupied,Total!!Renter occupied!!1-person household,Total!!Renter occupied!!2-person household,Total!!Renter occupied!!3-person household,Total!!Renter occupied!!4-person household,Total!!Renter occupied!!5-person household,Total!!Renter occupied!!6-person household,Total!!Renter occupied!!7-or-more-person household
92,8710000US3610459,"ZCTA5 10459, New York",10528,1048,139,238,223,199,131,60,58,9480,2299,1936,1885,1504,973,454,429
93,8710000US3610460,"ZCTA5 10460, New York",12478,1084,171,220,216,187,149,65,76,11394,2699,2442,2317,1846,1087,512,491
94,8710000US3610461,"ZCTA5 10461, New York",6841,1177,195,236,267,227,147,65,40,5664,1636,1501,1122,805,373,131,96
95,8710000US3610462,"ZCTA5 10462, New York",12795,2287,526,638,422,346,200,82,73,10508,2903,2738,2050,1465,765,285,302
96,8710000US3610463,"ZCTA5 10463, New York",11027,1805,523,511,318,261,111,47,34,9222,2199,2382,1893,1449,720,327,252
97,8710000US3610464,"ZCTA5 10464, New York",277,99,16,35,24,17,3,4,0,178,69,44,24,30,7,2,2
98,8710000US3610465,"ZCTA5 10465, New York",5151,1787,228,443,368,387,217,79,65,3364,896,835,711,517,256,97,52
99,8710000US3610466,"ZCTA5 10466, New York",4880,869,115,210,173,162,111,39,59,4011,867,986,784,621,390,192,171
100,8710000US3610467,"ZCTA5 10467, New York",15833,1225,237,309,254,195,109,62,59,14608,3571,3620,2842,2223,1278,559,515
101,8710000US3610468,"ZCTA5 10468, New York",16237,820,191,203,140,142,62,28,54,15417,2782,3294,3193,2837,1666,819,826
