,GEO_ID,NAME,H016D001,H016D002,H016D003,H016D004,H016D005,H016D006,H016D007,H016D008,H016D009,H016D010,H016D011,H016D012,H016D013,H016D014,H016D017,H016D015,H016D016
0,id,Geographic Area Name,Total,Total!!Owner occupied,Total!!Owner occupied!!1-person household,Total!!Owner occupied!!2-person household,Total!!Owner occupied!!3-person household,Total!!Owner occupied!!4-person household,Total!!Owner occupied!!5-person household,Total!!Owner occupied!!6-person household,Total!!Owner occupied!!7-or-more-person household,Total!!Renter occupied,Total!!Renter occupied!!1-person household,Total!!Renter occupied!!2-person household,Total!!Renter occupied!!3-person household,Total!!Renter occupied!!4-person household,Total!!Renter occupied!!7-or-more-person household,Total!!Renter occupied!!5-person household,Total!!Renter occupied!!6-person household
90,8710000US3610457,"ZCTA5 10457, New York",389,37,3,10,6,8,2,4,4,352,94,101,58,50,10,29,10
91,8710000US3610458,"ZCTA5 10458, New York",1007,112,6,24,25,24,8,6,19,895,223,222,165,159,30,67,29
92,8710000US3610459,"ZCTA5 10459, New York",112,36,2,11,4,12,3,2,2,76,29,10,16,8,2,9,2
93,8710000US3610460,"ZCTA5 10460, New York",255,85,10,13,15,22,10,9,6,170,38,48,28,25,5,21,5
94,8710000US3610461,"ZCTA5 10461, New York",1490,441,29,80,81,113,68,29,41,1049,183,245,209,216,38,106,52
95,8710000US3610462,"ZCTA5 10462, New York",2352,932,87,157,168,244,139,70,67,1420,212,319,279,307,75,141,87
96,8710000US3610463,"ZCTA5 10463, New York",1112,393,89,139,75,62,18,5,5,719,192,201,127,126,13,47,13
97,8710000US3610464,"ZCTA5 10464, New York",45,26,2,10,4,7,1,2,0,19,9,3,5,1,1,0,0
98,8710000US3610465,"ZCTA5 10465, New York",349,223,22,46,42,46,36,14,17,126,25,30,24,24,2,11,10
99,8710000US3610466,"ZCTA5 10466, New York",482,217,18,52,35,51,40,13,8,265,64,58,64,37,8,21,13
100,8710000US3610467,"ZCTA5 10467, New York",1814,272,22,30,48,60,39,38,35,1542,312,310,261,286,79,176,118
101,8710000US3610468,"ZCTA5 10468, New York",1049,182,29,38,29,41,22,11,12,867,137,187,192,133,53,111,54
102,8710000US3610469,"ZCTA5 10469, New York",728,451,28,77,75,109,65,38,59,277,64,57,45,64,12,19,16
