,GEO_ID,NAME,H011A001,H011A002,H011A003,H011A004
136,8710000US3610536,"ZCTA5 10536, New York",10063,7284,1979,800
137,8710000US3610537,"ZCTA5 10537, New York",2100,1563,215,322
138,8710000US3610538,"ZCTA5 10538, New York",15384,9729,3141,2514
139,8710000US3610541,"ZCTA5 10541, New York",24625,18015,3963,2647
140,8710000US3610543,"ZCTA5 10543, New York",15316,7983,2758,4575
141,8710000US3610545,"ZCTA5 10545, New York",2,2,0,0
142,8710000US3610546,"ZCTA5 10546, New York",1094,792,207,95
143,8710000US3610547,"ZCTA5 10547, New York",5950,4015,696,1239
144,8710000US3610548,"ZCTA5 10548, New York",2675,1894,430,351
145,8710000US3610549,"ZCTA5 10549, New York",12834,7117,2422,3295
146,8710000US3610550,"ZCTA5 10550, New York",5417,956,490,3971
147,8710000US3610552,"ZCTA5 10552, New York",9997,4216,1851,3930
148,8710000US3610553,"ZCTA5 10553, New York",609,213,118,278
149,8710000US3610560,"ZCTA5 10560, New York",4285,2992,876,417
150,8710000US3610562,"ZCTA5 10562, New York",18489,10637,2979,4873
151,8710000US3610566,"ZCTA5 10566, New York",12265,6051,1610,4604
152,8710000US3610567,"ZCTA5 10567, New York",16156,12328,2713,1115
153,8710000US3610570,"ZCTA5 10570, New York",10532,7188,1980,1364
154,8710000US3610573,"ZCTA5 10573, New York",25602,11701,4044,9857
155,8710000US3610576,"ZCTA5 10576, New York",4870,3588,916,366
156,8710000US3610577,"ZCTA5 10577, New York",2206,1387,695,124
157,8710000US3610578,"ZCTA5 10578, New York",633,463,114,56
158,8710000US3610579,"ZCTA5 10579, New York",8145,6075,1356,714
159,8710000US3610580,"ZCTA5 10580, New York",15577,9431,3411,2735
160,8710000US3610583,"ZCTA5 10583, New York",32128,21336,7861,2931
161,8710000US3610588,"ZCTA5 10588, New York",2025,1333,307,385
162,8710000US3610589,"ZCTA5 10589, New York",7603,4572,2501,530
163,8710000US3610590,"ZCTA5 10590, New York",6451,4964,1060,427
164,8710000US3610591,"ZCTA5 10591, New York",15061,6773,2298,5990
165,8710000US3610594,"ZCTA5 10594, New York",4395,2918,1002,475
166,8710000US3610595,"ZCTA5 10595, New York",5577,3365,1170,1042
167,8710000US3610596,"ZCTA5 10596, New York",1556,771,267,518
168,8710000US3610597,"ZCTA5 10597, New York",950,664,227,59
169,8710000US3610598,"ZCTA5 10598, New York",25839,19071,4847,1921
170,8710000US3610601,"ZCTA5 10601, New York",5969,1735,641,3593
171,8710000US3610603,"ZCTA5 10603, New York",8951,4872,1514,2565
172,8710000US3610604,"ZCTA5 10604, New York",8702,4281,1588,2833
173,8710000US3610605,"ZCTA5 10605, New York",14159,8829,3111,2219
174,8710000US3610606,"ZCTA5 10606, New York",8846,3365,1150,4331
