,GEO_ID,NAME,H016I001,H016I002,H016I003,H016I004,H016I005,H016I006,H016I007,H016I008,H016I009,H016I010,H016I011,H016I012,H016I013,H016I014,H016I015,H016I016,H016I017
0,id,Geographic Area Name,Total,Total!!Owner occupied,Total!!Owner occupied!!1-person household,Total!!Owner occupied!!2-person household,Total!!Owner occupied!!3-person household,Total!!Owner occupied!!4-person household,Total!!Owner occupied!!5-person household,Total!!Owner occupied!!6-person household,Total!!Owner occupied!!7-or-more-person household,Total!!Renter occupied,Total!!Renter occupied!!1-person household,Total!!Renter occupied!!2-person household,Total!!Renter occupied!!3-person household,Total!!Renter occupied!!4-person household,Total!!Renter occupied!!5-person household,Total!!Renter occupied!!6-person household,Total!!Renter occupied!!7-or-more-person household
77,8710000US3610307,"ZCTA5 10307, New York",4452,3223,403,816,622,806,404,130,42,1229,643,320,137,69,41,10,9
78,8710000US3610308,"ZCTA5 10308, New York",9142,7210,1227,2254,1396,1486,621,166,60,1932,897,497,252,197,61,16,12
79,8710000US3610309,"ZCTA5 10309, New York",9819,7426,924,1944,1545,1861,816,246,90,2393,1182,629,259,191,69,40,23
80,8710000US3610310,"ZCTA5 10310, New York",4220,3098,647,950,598,554,237,69,43,1122,539,297,133,87,37,16,13
81,8710000US3610311,"ZCTA5 10311, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,8710000US3610312,"ZCTA5 10312, New York",18451,14798,2091,4414,3056,3214,1421,447,155,3653,1787,947,431,293,134,34,27
83,8710000US3610314,"ZCTA5 10314, New York",22677,16535,3173,5472,3136,2785,1286,429,254,6142,2795,1642,846,500,217,90,52
84,8710000US3610451,"ZCTA5 10451, New York",466,151,86,42,15,4,2,0,2,315,153,84,37,21,5,10,5
85,8710000US3610452,"ZCTA5 10452, New York",358,26,10,10,4,0,0,1,1,332,145,88,43,28,14,8,6
86,8710000US3610453,"ZCTA5 10453, New York",344,40,14,10,5,5,1,2,3,304,139,63,45,25,17,12,3
87,8710000US3610454,"ZCTA5 10454, New York",271,48,14,14,10,2,3,0,5,223,92,69,26,23,5,6,2
88,8710000US3610455,"ZCTA5 10455, New York",166,13,1,8,2,2,0,0,0,153,59,36,25,13,8,5,7
89,8710000US3610456,"ZCTA5 10456, New York",342,30,10,10,3,5,1,1,0,312,159,59,49,18,15,5,7
90,8710000US3610457,"ZCTA5 10457, New York",413,46,9,16,8,2,5,1,5,367,167,92,48,25,21,6,8
91,8710000US3610458,"ZCTA5 10458, New York",3053,244,90,79,36,21,6,6,6,2809,1293,734,355,224,111,51,41
92,8710000US3610459,"ZCTA5 10459, New York",172,20,5,3,6,3,2,0,1,152,71,24,28,14,8,2,5
93,8710000US3610460,"ZCTA5 10460, New York",646,168,84,46,18,9,7,1,3,478,220,124,57,43,14,14,6
94,8710000US3610461,"ZCTA5 10461, New York",9996,4152,1180,1360,672,561,242,82,55,5844,2885,1676,643,420,156,43,21
95,8710000US3610462,"ZCTA5 10462, New York",5290,1534,501,508,222,147,82,36,38,3756,1723,974,463,313,160,62,61
96,8710000US3610463,"ZCTA5 10463, New York",12239,5502,2342,1841,659,453,154,32,21,6737,3232,2072,712,482,165,50,24
97,8710000US3610464,"ZCTA5 10464, New York",1675,993,291,369,160,108,42,18,5,682,378,164,74,42,16,4,4
98,8710000US3610465,"ZCTA5 10465, New York",8932,5909,1495,2034,1048,796,361,125,50,3023,1370,903,383,237,106,17,7
99,8710000US3610466,"ZCTA5 10466, New York",929,417,185,139,50,23,13,2,5,512,259,131,54,39,17,7,5
100,8710000US3610467,"ZCTA5 10467, New York",4505,612,291,187,77,31,16,5,5,3893,1817,932,458,344,202,81,59
101,8710000US3610468,"ZCTA5 10468, New York",1727,352,194,104,19,22,7,4,2,1375,786,277,109,96,77,24,6
102,8710000US3610469,"ZCTA5 10469, New York",3565,2216,620,768,373,255,126,36,38,1349,638,344,170,111,59,17,10
103,8710000US3610470,"ZCTA5 10470, New York",3312,1187,423,392,165,114,60,22,11,2125,1025,653,251,119,55,14,8
104,8710000US3610471,"ZCTA5 10471, New York",6152,3298,1173,1101,433,396,126,42,27,2854,1500,796,309,155,63,19,12
105,8710000US3610472,"ZCTA5 10472, New York",615,176,72,58,21,12,4,3,6,439,189,120,51,42,25,10,2
106,8710000US3610473,"ZCTA5 10473, New York",453,208,66,52,31,28,13,9,9,245,102,62,35,17,17,5,7
107,8710000US3610474,"ZCTA5 10474, New York",34,4,0,3,0,0,0,1,0,30,9,12,3,2,3,0,1
108,8710000US3610475,"ZCTA5 10475, New York",2200,912,464,304,87,39,8,4,6,1288,753,373,98,41,14,6,3
109,8710000US3610501,"ZCTA5 10501, New York",349,335,25,104,70,79,37,16,4,14,6,1,3,0,3,1,0
110,8710000US3610502,"ZCTA5 10502, New York",1545,1311,154,444,274,291,114,24,10,234,160,36,15,15,6,2,0
111,8710000US3610503,"ZCTA5 10503, New York",68,66,38,26,1,1,0,0,0,2,0,1,1,0,0,0,0
112,8710000US3610504,"ZCTA5 10504, New York",2370,2205,228,694,379,543,282,64,15,165,61,42,22,27,10,2,1
113,8710000US3610505,"ZCTA5 10505, New York",187,186,10,24,39,69,32,9,3,1,0,0,0,0,1,0,0
114,8710000US3610506,"ZCTA5 10506, New York",1771,1619,166,586,268,350,188,46,15,152,58,41,21,21,9,2,0
115,8710000US3610507,"ZCTA5 10507, New York",1503,994,232,326,178,162,69,21,6,509,253,133,52,37,16,5,13
116,8710000US3610509,"ZCTA5 10509, New York",5812,4811,855,1534,981,907,348,134,52,1001,551,244,119,60,17,8,2
117,8710000US3610510,"ZCTA5 10510, New York",3009,2558,387,842,494,556,202,61,16,451,281,90,33,32,12,3,0
118,8710000US3610511,"ZCTA5 10511, New York",723,548,110,200,97,99,29,9,4,175,78,45,21,14,8,8,1
119,8710000US3610512,"ZCTA5 10512, New York",8196,6806,1264,2335,1245,1228,501,169,64,1390,663,378,180,108,43,13,5
120,8710000US3610514,"ZCTA5 10514, New York",3423,3211,327,964,572,902,373,61,12,212,78,56,27,34,13,3,1
121,8710000US3610516,"ZCTA5 10516, New York",2017,1495,323,547,263,232,94,27,9,522,258,141,65,43,11,3,1
122,8710000US3610517,"ZCTA5 10517, New York",164,115,22,39,21,24,5,4,0,49,21,11,13,2,2,0,0
123,8710000US3610518,"ZCTA5 10518, New York",402,361,65,100,76,78,33,8,1,41,21,9,4,5,2,0,0
124,8710000US3610519,"ZCTA5 10519, New York",100,65,10,16,15,16,5,2,1,35,17,12,4,2,0,0,0
125,8710000US3610520,"ZCTA5 10520, New York",4398,3089,646,983,633,585,181,51,10,1309,828,289,107,61,14,5,5
126,8710000US3610522,"ZCTA5 10522, New York",3115,2069,393,673,423,402,131,37,10,1046,479,285,139,106,26,7,4
127,8710000US3610523,"ZCTA5 10523, New York",1003,707,180,236,123,103,49,6,10,296,157,82,28,18,11,0,0
128,8710000US3610524,"ZCTA5 10524, New York",1392,1199,196,465,223,202,86,20,7,193,60,68,31,18,10,4,2
129,8710000US3610526,"ZCTA5 10526, New York",606,500,94,145,102,100,42,16,1,106,61,25,12,8,0,0,0
