,GEO_ID,NAME,H011B001,H011B002,H011B003,H011B004
0,id,Geographic Area Name,Population in occupied housing units,Population in occupied housing units!!Owned with a mortgage or a loan,Population in occupied housing units!!Owned free and clear,Population in occupied housing units!!Renter occupied
1241,8710000US3613488,"ZCTA5 13488, New York",0,0,0,0
1242,8710000US3613489,"ZCTA5 13489, New York",0,0,0,0
1243,8710000US3613490,"ZCTA5 13490, New York",28,10,0,18
1244,8710000US3613491,"ZCTA5 13491, New York",5,3,2,0
1245,8710000US3613492,"ZCTA5 13492, New York",93,38,7,48
1246,8710000US3613493,"ZCTA5 13493, New York",1,0,1,0
1247,8710000US3613494,"ZCTA5 13494, New York",0,0,0,0
1248,8710000US3613495,"ZCTA5 13495, New York",21,3,2,16
1249,8710000US3613501,"ZCTA5 13501, New York",5810,975,441,4394
1250,8710000US3613502,"ZCTA5 13502, New York",3065,562,169,2334
1251,8710000US3613601,"ZCTA5 13601, New York",1747,436,33,1278
1252,8710000US3613602,"ZCTA5 13602, New York",87,0,0,87
1253,8710000US3613603,"ZCTA5 13603, New York",1335,3,0,1332
1254,8710000US3613605,"ZCTA5 13605, New York",13,6,0,7
1255,8710000US3613606,"ZCTA5 13606, New York",21,5,0,16
1256,8710000US3613607,"ZCTA5 13607, New York",15,2,0,13
1257,8710000US3613608,"ZCTA5 13608, New York",13,10,2,1
1258,8710000US3613612,"ZCTA5 13612, New York",99,48,2,49
1259,8710000US3613613,"ZCTA5 13613, New York",6,6,0,0
1260,8710000US3613614,"ZCTA5 13614, New York",0,0,0,0
1261,8710000US3613615,"ZCTA5 13615, New York",6,6,0,0
1262,8710000US3613616,"ZCTA5 13616, New York",191,2,0,189
1263,8710000US3613617,"ZCTA5 13617, New York",75,20,4,51
1264,8710000US3613618,"ZCTA5 13618, New York",9,5,0,4
1265,8710000US3613619,"ZCTA5 13619, New York",294,82,2,210
1266,8710000US3613620,"ZCTA5 13620, New York",13,0,0,13
1267,8710000US3613621,"ZCTA5 13621, New York",0,0,0,0
1268,8710000US3613622,"ZCTA5 13622, New York",16,14,2,0
1269,8710000US3613623,"ZCTA5 13623, New York",0,0,0,0
1270,8710000US3613624,"ZCTA5 13624, New York",59,14,2,43
1271,8710000US3613625,"ZCTA5 13625, New York",0,0,0,0
1272,8710000US3613626,"ZCTA5 13626, New York",13,0,5,8
1273,8710000US3613628,"ZCTA5 13628, New York",5,0,0,5
1274,8710000US3613630,"ZCTA5 13630, New York",4,2,2,0
1275,8710000US3613633,"ZCTA5 13633, New York",4,4,0,0
1276,8710000US3613634,"ZCTA5 13634, New York",37,24,2,11
1277,8710000US3613635,"ZCTA5 13635, New York",0,0,0,0
1278,8710000US3613636,"ZCTA5 13636, New York",0,0,0,0
1279,8710000US3613637,"ZCTA5 13637, New York",464,58,2,404
1280,8710000US3613638,"ZCTA5 13638, New York",11,1,0,10
1281,8710000US3613639,"ZCTA5 13639, New York",5,0,0,5
1282,8710000US3613640,"ZCTA5 13640, New York",0,0,0,0
1283,8710000US3613641,"ZCTA5 13641, New York",0,0,0,0
1284,8710000US3613642,"ZCTA5 13642, New York",57,9,2,46
1285,8710000US3613643,"ZCTA5 13643, New York",0,0,0,0
1286,8710000US3613646,"ZCTA5 13646, New York",4,0,4,0
1287,8710000US3613647,"ZCTA5 13647, New York",0,0,0,0
1288,8710000US3613648,"ZCTA5 13648, New York",1,0,1,0
1289,8710000US3613650,"ZCTA5 13650, New York",0,0,0,0
1290,8710000US3613651,"ZCTA5 13651, New York",2,0,0,2
1291,8710000US3613652,"ZCTA5 13652, New York",4,0,4,0
1292,8710000US3613654,"ZCTA5 13654, New York",10,0,2,8
1293,8710000US3613655,"ZCTA5 13655, New York",1,0,0,1
1294,8710000US3613656,"ZCTA5 13656, New York",34,23,1,10
1295,8710000US3613658,"ZCTA5 13658, New York",0,0,0,0
1296,8710000US3613659,"ZCTA5 13659, New York",0,0,0,0
1297,8710000US3613660,"ZCTA5 13660, New York",4,2,0,2
1298,8710000US3613661,"ZCTA5 13661, New York",6,0,6,0
1299,8710000US3613662,"ZCTA5 13662, New York",69,10,8,51
1300,8710000US3613664,"ZCTA5 13664, New York",4,0,0,4
1301,8710000US3613665,"ZCTA5 13665, New York",8,2,0,6
1302,8710000US3613666,"ZCTA5 13666, New York",0,0,0,0
1303,8710000US3613667,"ZCTA5 13667, New York",15,0,7,8
1304,8710000US3613668,"ZCTA5 13668, New York",2,0,1,1
1305,8710000US3613669,"ZCTA5 13669, New York",40,17,0,23
1306,8710000US3613670,"ZCTA5 13670, New York",0,0,0,0
1307,8710000US3613672,"ZCTA5 13672, New York",1,0,0,1
1308,8710000US3613673,"ZCTA5 13673, New York",94,25,2,67
1309,8710000US3613674,"ZCTA5 13674, New York",0,0,0,0
1310,8710000US3613675,"ZCTA5 13675, New York",0,0,0,0
1311,8710000US3613676,"ZCTA5 13676, New York",87,26,0,61
1312,8710000US3613677,"ZCTA5 13677, New York",0,0,0,0
1313,8710000US3613678,"ZCTA5 13678, New York",4,0,0,4
1314,8710000US3613679,"ZCTA5 13679, New York",2,2,0,0
1315,8710000US3613680,"ZCTA5 13680, New York",9,0,2,7
1316,8710000US3613681,"ZCTA5 13681, New York",0,0,0,0
1317,8710000US3613682,"ZCTA5 13682, New York",0,0,0,0
1318,8710000US3613684,"ZCTA5 13684, New York",2,0,2,0
1319,8710000US3613685,"ZCTA5 13685, New York",22,4,0,18
1320,8710000US3613687,"ZCTA5 13687, New York",1,0,0,1
1321,8710000US3613690,"ZCTA5 13690, New York",0,0,0,0
1322,8710000US3613691,"ZCTA5 13691, New York",38,18,4,16
1323,8710000US3613692,"ZCTA5 13692, New York",0,0,0,0
1324,8710000US3613693,"ZCTA5 13693, New York",5,0,0,5
1325,8710000US3613694,"ZCTA5 13694, New York",6,2,0,4
1326,8710000US3613695,"ZCTA5 13695, New York",0,0,0,0
1327,8710000US3613696,"ZCTA5 13696, New York",0,0,0,0
1328,8710000US3613697,"ZCTA5 13697, New York",0,0,0,0
1329,8710000US3613730,"ZCTA5 13730, New York",1,1,0,0
1330,8710000US3613731,"ZCTA5 13731, New York",12,9,0,3
1331,8710000US3613732,"ZCTA5 13732, New York",26,21,2,3
1332,8710000US3613733,"ZCTA5 13733, New York",7,2,0,5
1333,8710000US3613734,"ZCTA5 13734, New York",1,0,1,0
1334,8710000US3613736,"ZCTA5 13736, New York",12,11,0,1
1335,8710000US3613739,"ZCTA5 13739, New York",9,4,1,4
1336,8710000US3613740,"ZCTA5 13740, New York",4,3,0,1
1337,8710000US3613743,"ZCTA5 13743, New York",29,9,14,6
1338,8710000US3613744,"ZCTA5 13744, New York",2,2,0,0
1339,8710000US3613746,"ZCTA5 13746, New York",14,10,1,3
