"GEO_ID","NAME","H011F001","H011F002","H011F003","H011F004"
"id","Geographic Area Name","Population in occupied housing units","Population in occupied housing units!!Owned with a mortgage or a loan","Population in occupied housing units!!Owned free and clear","Population in occupied housing units!!Renter occupied"
"8710000US3611375","ZCTA5 11375, New York","2157","583","107","1467"
"8710000US3611377","ZCTA5 11377, New York","14495","1800","315","12380"
"8710000US3611378","ZCTA5 11378, New York","4000","1072","82","2846"
"8710000US3611379","ZCTA5 11379, New York","1920","472","61","1387"
"8710000US3611385","ZCTA5 11385, New York","19796","3357","312","16127"
"8710000US3611411","ZCTA5 11411, New York","235","147","22","66"
"8710000US3611412","ZCTA5 11412, New York","781","514","13","254"
"8710000US3611413","ZCTA5 11413, New York","714","461","41","212"
"8710000US3611414","ZCTA5 11414, New York","1340","458","45","837"
"8710000US3611415","ZCTA5 11415, New York","1601","375","56","1170"
"8710000US3611416","ZCTA5 11416, New York","6101","2140","130","3831"
"8710000US3611417","ZCTA5 11417, New York","5864","2636","169","3059"
"8710000US3611418","ZCTA5 11418, New York","7812","2516","226","5070"
"8710000US3611419","ZCTA5 11419, New York","9250","4007","584","4659"
"8710000US3611420","ZCTA5 11420, New York","8312","4647","357","3308"
"8710000US3611421","ZCTA5 11421, New York","9958","3968","174","5816"
"8710000US3611422","ZCTA5 11422, New York","1084","678","51","355"
"8710000US3611423","ZCTA5 11423, New York","3952","1822","258","1872"
"8710000US3611424","ZCTA5 11424, New York","0","0","0","0"
"8710000US3611425","ZCTA5 11425, New York","0","0","0","0"
"8710000US3611426","ZCTA5 11426, New York","1164","778","59","327"
"8710000US3611427","ZCTA5 11427, New York","2228","1191","119","918"
"8710000US3611428","ZCTA5 11428, New York","2965","1780","194","991"
"8710000US3611429","ZCTA5 11429, New York","1334","738","60","536"
"8710000US3611430","ZCTA5 11430, New York","0","0","0","0"
"8710000US3611432","ZCTA5 11432, New York","7994","1321","337","6336"
"8710000US3611433","ZCTA5 11433, New York","2907","940","128","1839"
"8710000US3611434","ZCTA5 11434, New York","2054","1074","76","904"
"8710000US3611435","ZCTA5 11435, New York","9530","2024","332","7174"
"8710000US3611436","ZCTA5 11436, New York","1343","831","32","480"
"8710000US3611451","ZCTA5 11451, New York","0","0","0","0"
"8710000US3611501","ZCTA5 11501, New York","1000","257","28","715"
"8710000US3611507","ZCTA5 11507, New York","117","63","6","48"
"8710000US3611509","ZCTA5 11509, New York","25","2","8","15"
"8710000US3611510","ZCTA5 11510, New York","2286","1509","94","683"
"8710000US3611514","ZCTA5 11514, New York","186","53","33","100"
"8710000US3611516","ZCTA5 11516, New York","359","57","7","295"
"8710000US3611518","ZCTA5 11518, New York","196","72","10","114"
"8710000US3611520","ZCTA5 11520, New York","8206","3496","251","4459"
"8710000US3611530","ZCTA5 11530, New York","136","85","7","44"
"8710000US3611542","ZCTA5 11542, New York","2831","594","34","2203"
"8710000US3611545","ZCTA5 11545, New York","152","68","4","80"
"8710000US3611547","ZCTA5 11547, New York","0","0","0","0"
"8710000US3611548","ZCTA5 11548, New York","47","10","0","37"
"8710000US3611549","ZCTA5 11549, New York","0","0","0","0"
"8710000US3611550","ZCTA5 11550, New York","12505","4506","303","7696"
"8710000US3611552","ZCTA5 11552, New York","1467","1020","79","368"
"8710000US3611553","ZCTA5 11553, New York","5099","3727","110","1262"
"8710000US3611554","ZCTA5 11554, New York","1137","817","34","286"
"8710000US3611556","ZCTA5 11556, New York","0","0","0","0"
"8710000US3611557","ZCTA5 11557, New York","247","105","13","129"
"8710000US3611558","ZCTA5 11558, New York","594","280","3","311"
"8710000US3611559","ZCTA5 11559, New York","285","69","10","206"
"8710000US3611560","ZCTA5 11560, New York","287","110","9","168"
"8710000US3611561","ZCTA5 11561, New York","1649","500","46","1103"
"8710000US3611563","ZCTA5 11563, New York","915","444","33","438"
"8710000US3611565","ZCTA5 11565, New York","210","148","11","51"
"8710000US3611566","ZCTA5 11566, New York","437","326","26","85"
"8710000US3611568","ZCTA5 11568, New York","31","13","0","18"
"8710000US3611569","ZCTA5 11569, New York","3","1","0","2"
"8710000US3611570","ZCTA5 11570, New York","900","273","15","612"
"8710000US3611572","ZCTA5 11572, New York","713","341","12","360"
"8710000US3611575","ZCTA5 11575, New York","2724","1624","74","1026"
"8710000US3611576","ZCTA5 11576, New York","146","58","0","88"
"8710000US3611577","ZCTA5 11577, New York","212","99","10","103"
"8710000US3611579","ZCTA5 11579, New York","58","7","2","49"
"8710000US3611580","ZCTA5 11580, New York","3654","2684","143","827"
"8710000US3611581","ZCTA5 11581, New York","900","671","34","195"
"8710000US3611590","ZCTA5 11590, New York","6460","3125","145","3190"
"8710000US3611596","ZCTA5 11596, New York","102","53","0","49"
"8710000US3611598","ZCTA5 11598, New York","155","39","0","116"
"8710000US3611691","ZCTA5 11691, New York","7271","993","113","6165"
"8710000US3611692","ZCTA5 11692, New York","1790","366","67","1357"
"8710000US3611693","ZCTA5 11693, New York","822","167","72","583"
"8710000US3611694","ZCTA5 11694, New York","758","115","10","633"
"8710000US3611697","ZCTA5 11697, New York","20","9","3","8"
"8710000US3611701","ZCTA5 11701, New York","2487","1330","128","1029"
"8710000US3611702","ZCTA5 11702, New York","205","91","3","111"
"8710000US3611703","ZCTA5 11703, New York","503","413","10","80"
"8710000US3611704","ZCTA5 11704, New York","1499","1050","34","415"
"8710000US3611705","ZCTA5 11705, New York","52","18","0","34"
"8710000US3611706","ZCTA5 11706, New York","9315","5715","299","3301"
"8710000US3611709","ZCTA5 11709, New York","82","23","0","59"
"8710000US3611710","ZCTA5 11710, New York","455","311","4","140"
"8710000US3611713","ZCTA5 11713, New York","713","433","21","259"
"8710000US3611714","ZCTA5 11714, New York","314","180","9","125"
"8710000US3611715","ZCTA5 11715, New York","59","35","2","22"
"8710000US3611716","ZCTA5 11716, New York","133","46","19","68"
"8710000US3611717","ZCTA5 11717, New York","16152","10683","445","5024"
"8710000US3611718","ZCTA5 11718, New York","20","6","4","10"
"8710000US3611719","ZCTA5 11719, New York","58","31","17","10"
"8710000US3611720","ZCTA5 11720, New York","922","634","33","255"
"8710000US3611721","ZCTA5 11721, New York","9","9","0","0"
"8710000US3611722","ZCTA5 11722, New York","7536","4952","193","2391"
"8710000US3611724","ZCTA5 11724, New York","26","19","7","0"
"8710000US3611725","ZCTA5 11725, New York","226","145","25","56"
"8710000US3611726","ZCTA5 11726, New York","2943","1759","47","1137"
"8710000US3611727","ZCTA5 11727, New York","1238","543","26","669"
"8710000US3611729","ZCTA5 11729, New York","930","624","27","279"
"8710000US3611730","ZCTA5 11730, New York","209","133","16","60"
