"GEO_ID","NAME","H011G001","H011G002","H011G003","H011G004"
"id","Geographic Area Name","Population in occupied housing units","Population in occupied housing units!!Owned with a mortgage or a loan","Population in occupied housing units!!Owned free and clear","Population in occupied housing units!!Renter occupied"
"8710000US3610119","ZCTA5 10119, New York","0","0","0","0"
"8710000US3610128","ZCTA5 10128, New York","1185","148","69","968"
"8710000US3610152","ZCTA5 10152, New York","0","0","0","0"
"8710000US3610153","ZCTA5 10153, New York","0","0","0","0"
"8710000US3610154","ZCTA5 10154, New York","0","0","0","0"
"8710000US3610162","ZCTA5 10162, New York","15","0","0","15"
"8710000US3610165","ZCTA5 10165, New York","0","0","0","0"
"8710000US3610167","ZCTA5 10167, New York","0","0","0","0"
"8710000US3610168","ZCTA5 10168, New York","0","0","0","0"
"8710000US3610169","ZCTA5 10169, New York","0","0","0","0"
"8710000US3610170","ZCTA5 10170, New York","0","0","0","0"
"8710000US3610171","ZCTA5 10171, New York","0","0","0","0"
"8710000US3610172","ZCTA5 10172, New York","0","0","0","0"
"8710000US3610173","ZCTA5 10173, New York","0","0","0","0"
"8710000US3610174","ZCTA5 10174, New York","0","0","0","0"
"8710000US3610177","ZCTA5 10177, New York","0","0","0","0"
"8710000US3610199","ZCTA5 10199, New York","0","0","0","0"
"8710000US3610271","ZCTA5 10271, New York","0","0","0","0"
"8710000US3610278","ZCTA5 10278, New York","0","0","0","0"
"8710000US3610279","ZCTA5 10279, New York","0","0","0","0"
"8710000US3610280","ZCTA5 10280, New York","164","30","7","127"
"8710000US3610282","ZCTA5 10282, New York","84","0","0","84"
"8710000US3610301","ZCTA5 10301, New York","1352","310","54","988"
"8710000US3610302","ZCTA5 10302, New York","874","314","17","543"
"8710000US3610303","ZCTA5 10303, New York","1078","550","25","503"
"8710000US3610304","ZCTA5 10304, New York","1157","454","66","637"
"8710000US3610305","ZCTA5 10305, New York","808","359","46","403"
"8710000US3610306","ZCTA5 10306, New York","858","377","60","421"
"8710000US3610307","ZCTA5 10307, New York","153","98","12","43"
"8710000US3610308","ZCTA5 10308, New York","228","138","18","72"
"8710000US3610309","ZCTA5 10309, New York","199","127","13","59"
"8710000US3610310","ZCTA5 10310, New York","834","371","16","447"
"8710000US3610311","ZCTA5 10311, New York","0","0","0","0"
"8710000US3610312","ZCTA5 10312, New York","490","321","59","110"
"8710000US3610314","ZCTA5 10314, New York","1786","1073","132","581"
"8710000US3610451","ZCTA5 10451, New York","2899","155","90","2654"
"8710000US3610452","ZCTA5 10452, New York","5342","94","66","5182"
"8710000US3610453","ZCTA5 10453, New York","5341","206","65","5070"
"8710000US3610454","ZCTA5 10454, New York","2396","92","28","2276"
"8710000US3610455","ZCTA5 10455, New York","2665","124","47","2494"
"8710000US3610456","ZCTA5 10456, New York","5620","254","57","5309"
"8710000US3610457","ZCTA5 10457, New York","4629","231","115","4283"
"8710000US3610458","ZCTA5 10458, New York","4892","268","77","4547"
"8710000US3610459","ZCTA5 10459, New York","3463","331","51","3081"
"8710000US3610460","ZCTA5 10460, New York","3582","369","70","3143"
"8710000US3610461","ZCTA5 10461, New York","1664","372","42","1250"
"8710000US3610462","ZCTA5 10462, New York","4112","866","185","3061"
"8710000US3610463","ZCTA5 10463, New York","3124","403","157","2564"
"8710000US3610464","ZCTA5 10464, New York","85","33","5","47"
"8710000US3610465","ZCTA5 10465, New York","1176","371","78","727"
"8710000US3610466","ZCTA5 10466, New York","2384","752","75","1557"
"8710000US3610467","ZCTA5 10467, New York","4746","415","132","4199"
"8710000US3610468","ZCTA5 10468, New York","5671","239","130","5302"
"8710000US3610469","ZCTA5 10469, New York","2147","763","125","1259"
"8710000US3610470","ZCTA5 10470, New York","526","225","22","279"
"8710000US3610471","ZCTA5 10471, New York","519","188","22","309"
"8710000US3610472","ZCTA5 10472, New York","4281","642","148","3491"
"8710000US3610473","ZCTA5 10473, New York","3491","966","164","2361"
"8710000US3610474","ZCTA5 10474, New York","920","38","27","855"
"8710000US3610475","ZCTA5 10475, New York","1383","278","436","669"
"8710000US3610501","ZCTA5 10501, New York","15","13","2","0"
"8710000US3610502","ZCTA5 10502, New York","58","40","15","3"
"8710000US3610503","ZCTA5 10503, New York","0","0","0","0"
"8710000US3610504","ZCTA5 10504, New York","40","33","4","3"
"8710000US3610505","ZCTA5 10505, New York","15","15","0","0"
"8710000US3610506","ZCTA5 10506, New York","24","4","7","13"
"8710000US3610507","ZCTA5 10507, New York","121","17","11","93"
