"GEO_ID","NAME","H011C001","H011C002","H011C003","H011C004"
"id","Geographic Area Name","Population in occupied housing units","Population in occupied housing units!!Owned with a mortgage or a loan","Population in occupied housing units!!Owned free and clear","Population in occupied housing units!!Renter occupied"
"8710000US3610165","ZCTA5 10165, New York","0","0","0","0"
"8710000US3610167","ZCTA5 10167, New York","0","0","0","0"
"8710000US3610168","ZCTA5 10168, New York","0","0","0","0"
"8710000US3610169","ZCTA5 10169, New York","0","0","0","0"
"8710000US3610170","ZCTA5 10170, New York","0","0","0","0"
"8710000US3610171","ZCTA5 10171, New York","0","0","0","0"
"8710000US3610172","ZCTA5 10172, New York","0","0","0","0"
"8710000US3610173","ZCTA5 10173, New York","0","0","0","0"
"8710000US3610174","ZCTA5 10174, New York","0","0","0","0"
"8710000US3610177","ZCTA5 10177, New York","0","0","0","0"
"8710000US3610199","ZCTA5 10199, New York","0","0","0","0"
"8710000US3610271","ZCTA5 10271, New York","0","0","0","0"
"8710000US3610278","ZCTA5 10278, New York","0","0","0","0"
"8710000US3610279","ZCTA5 10279, New York","0","0","0","0"
"8710000US3610280","ZCTA5 10280, New York","5","0","0","5"
"8710000US3610282","ZCTA5 10282, New York","2","0","0","2"
"8710000US3610301","ZCTA5 10301, New York","228","46","8","174"
"8710000US3610302","ZCTA5 10302, New York","127","22","7","98"
"8710000US3610303","ZCTA5 10303, New York","235","109","9","117"
"8710000US3610304","ZCTA5 10304, New York","262","73","0","189"
"8710000US3610305","ZCTA5 10305, New York","115","40","0","75"
"8710000US3610306","ZCTA5 10306, New York","148","31","9","108"
"8710000US3610307","ZCTA5 10307, New York","19","9","0","10"
"8710000US3610308","ZCTA5 10308, New York","40","25","2","13"
"8710000US3610309","ZCTA5 10309, New York","14","9","0","5"
"8710000US3610310","ZCTA5 10310, New York","144","40","5","99"
"8710000US3610311","ZCTA5 10311, New York","0","0","0","0"
"8710000US3610312","ZCTA5 10312, New York","95","59","23","13"
"8710000US3610314","ZCTA5 10314, New York","172","64","14","94"
"8710000US3610451","ZCTA5 10451, New York","697","14","11","672"
"8710000US3610452","ZCTA5 10452, New York","1093","20","22","1051"
"8710000US3610453","ZCTA5 10453, New York","1275","59","18","1198"
"8710000US3610454","ZCTA5 10454, New York","857","51","41","765"
"8710000US3610455","ZCTA5 10455, New York","674","36","0","638"
"8710000US3610456","ZCTA5 10456, New York","1258","47","19","1192"
"8710000US3610457","ZCTA5 10457, New York","1078","51","28","999"
"8710000US3610458","ZCTA5 10458, New York","1246","34","8","1204"
"8710000US3610459","ZCTA5 10459, New York","891","42","20","829"
"8710000US3610460","ZCTA5 10460, New York","960","70","16","874"
"8710000US3610461","ZCTA5 10461, New York","300","81","1","218"
"8710000US3610462","ZCTA5 10462, New York","681","114","23","544"
"8710000US3610463","ZCTA5 10463, New York","531","37","9","485"
"8710000US3610464","ZCTA5 10464, New York","26","6","4","16"
"8710000US3610465","ZCTA5 10465, New York","255","71","13","171"
"8710000US3610466","ZCTA5 10466, New York","572","123","14","435"
"8710000US3610467","ZCTA5 10467, New York","1117","86","17","1014"
"8710000US3610468","ZCTA5 10468, New York","1162","54","12","1096"
"8710000US3610469","ZCTA5 10469, New York","359","94","14","251"
"8710000US3610470","ZCTA5 10470, New York","112","37","3","72"
"8710000US3610471","ZCTA5 10471, New York","83","28","5","50"
"8710000US3610472","ZCTA5 10472, New York","948","78","9","861"
"8710000US3610473","ZCTA5 10473, New York","724","167","34","523"
"8710000US3610474","ZCTA5 10474, New York","201","4","1","196"
"8710000US3610475","ZCTA5 10475, New York","226","48","53","125"
"8710000US3610501","ZCTA5 10501, New York","0","0","0","0"
"8710000US3610502","ZCTA5 10502, New York","0","0","0","0"
"8710000US3610503","ZCTA5 10503, New York","0","0","0","0"
"8710000US3610504","ZCTA5 10504, New York","0","0","0","0"
"8710000US3610505","ZCTA5 10505, New York","0","0","0","0"
"8710000US3610506","ZCTA5 10506, New York","6","5","1","0"
"8710000US3610507","ZCTA5 10507, New York","15","4","2","9"
"8710000US3610509","ZCTA5 10509, New York","46","20","6","20"
"8710000US3610510","ZCTA5 10510, New York","16","3","0","13"
"8710000US3610511","ZCTA5 10511, New York","0","0","0","0"
"8710000US3610512","ZCTA5 10512, New York","54","30","8","16"
"8710000US3610514","ZCTA5 10514, New York","0","0","0","0"
"8710000US3610516","ZCTA5 10516, New York","12","7","0","5"
"8710000US3610517","ZCTA5 10517, New York","3","0","0","3"
"8710000US3610518","ZCTA5 10518, New York","2","2","0","0"
"8710000US3610519","ZCTA5 10519, New York","0","0","0","0"
"8710000US3610520","ZCTA5 10520, New York","17","2","10","5"
"8710000US3610522","ZCTA5 10522, New York","4","0","0","4"
"8710000US3610523","ZCTA5 10523, New York","24","15","0","9"
"8710000US3610524","ZCTA5 10524, New York","4","2","1","1"
"8710000US3610526","ZCTA5 10526, New York","0","0","0","0"
"8710000US3610527","ZCTA5 10527, New York","0","0","0","0"
"8710000US3610528","ZCTA5 10528, New York","26","0","0","26"
"8710000US3610530","ZCTA5 10530, New York","9","5","3","1"
