"GEO_ID","NAME","H011I001","H011I002","H011I003","H011I004"
"id","Geographic Area Name","Population in occupied housing units","Population in occupied housing units!!Owned with a mortgage or a loan","Population in occupied housing units!!Owned free and clear","Population in occupied housing units!!Renter occupied"
"8710000US3610032","ZCTA5 10032, New York","5838","659","177","5002"
"8710000US3610033","ZCTA5 10033, New York","11803","2098","744","8961"
"8710000US3610034","ZCTA5 10034, New York","7062","1263","362","5437"
"8710000US3610035","ZCTA5 10035, New York","2593","386","91","2116"
"8710000US3610036","ZCTA5 10036, New York","13784","1319","523","11942"
"8710000US3610037","ZCTA5 10037, New York","782","96","24","662"
"8710000US3610038","ZCTA5 10038, New York","8564","1425","1148","5991"
"8710000US3610039","ZCTA5 10039, New York","969","289","24","656"
"8710000US3610040","ZCTA5 10040, New York","8060","1296","606","6158"
"8710000US3610044","ZCTA5 10044, New York","4748","252","448","4048"
"8710000US3610065","ZCTA5 10065, New York","26678","5050","4354","17274"
"8710000US3610069","ZCTA5 10069, New York","3592","869","289","2434"
"8710000US3610075","ZCTA5 10075, New York","21777","6488","4287","11002"
"8710000US3610103","ZCTA5 10103, New York","0","0","0","0"
"8710000US3610110","ZCTA5 10110, New York","0","0","0","0"
"8710000US3610111","ZCTA5 10111, New York","0","0","0","0"
"8710000US3610112","ZCTA5 10112, New York","0","0","0","0"
"8710000US3610115","ZCTA5 10115, New York","0","0","0","0"
"8710000US3610119","ZCTA5 10119, New York","0","0","0","0"
"8710000US3610128","ZCTA5 10128, New York","45545","11856","6296","27393"
"8710000US3610152","ZCTA5 10152, New York","0","0","0","0"
"8710000US3610153","ZCTA5 10153, New York","0","0","0","0"
"8710000US3610154","ZCTA5 10154, New York","0","0","0","0"
"8710000US3610162","ZCTA5 10162, New York","1470","5","3","1462"
"8710000US3610165","ZCTA5 10165, New York","0","0","0","0"
"8710000US3610167","ZCTA5 10167, New York","0","0","0","0"
"8710000US3610168","ZCTA5 10168, New York","0","0","0","0"
"8710000US3610169","ZCTA5 10169, New York","0","0","0","0"
"8710000US3610170","ZCTA5 10170, New York","0","0","0","0"
"8710000US3610171","ZCTA5 10171, New York","0","0","0","0"
"8710000US3610172","ZCTA5 10172, New York","0","0","0","0"
"8710000US3610173","ZCTA5 10173, New York","0","0","0","0"
"8710000US3610174","ZCTA5 10174, New York","0","0","0","0"
"8710000US3610177","ZCTA5 10177, New York","0","0","0","0"
"8710000US3610199","ZCTA5 10199, New York","9","0","0","9"
"8710000US3610271","ZCTA5 10271, New York","0","0","0","0"
"8710000US3610278","ZCTA5 10278, New York","0","0","0","0"
