,Zip,City,State,Latitude,Longitude,geopoint
508,10029,New York,NY,40.791585999999995,-73.94575,"40.791586,-73.94575"
512,10044,New York,NY,40.762174,-73.94917,"40.762174,-73.94917"
514,11415,Kew Gardens,NY,40.706903000000004,-73.82973,"40.706903,-73.82973"
516,10465,Bronx,NY,40.825727,-73.81752,"40.825727,-73.81752"
522,10010,New York,NY,40.739022,-73.98205,"40.739022,-73.98205"
525,10119,New York,NY,40.750824,-73.99289,"40.750824,-73.99289"
527,11420,South Ozone Park,NY,40.673138,-73.81443,"40.673138,-73.81443"
538,10455,Bronx,NY,40.815559,-73.90771,"40.815559,-73.90771"
582,10122,New York,NY,40.751757,-73.992171,"40.751757,-73.992171"
594,11102,Astoria,NY,40.771285999999996,-73.92461999999999,"40.771286,-73.92462"
604,10011,New York,NY,40.741012,-74.00012,"40.741012,-74.00012"
618,11451,Jamaica,NY,40.651378,-73.870779,"40.651378,-73.870779"
635,10468,Bronx,NY,40.867107,-73.89916,"40.867107,-73.89916"
642,10203,New York,NY,40.780751,-73.977182,"40.780751,-73.977182"
645,11378,Maspeth,NY,40.724096,-73.90271,"40.724096,-73.90271"
661,10459,Bronx,NY,40.825432,-73.89327,"40.825432,-73.89327"
666,10018,New York,NY,40.755101,-73.99337,"40.755101,-73.99337"
669,11228,Brooklyn,NY,40.617563,-74.01168,"40.617563,-74.01168"
673,10457,Bronx,NY,40.846745,-73.89860999999999,"40.846745,-73.89861"
677,10016,New York,NY,40.746179999999995,-73.97759,"40.74618,-73.97759"
697,10456,Bronx,NY,40.829676,-73.90856,"40.829676,-73.90856"
714,10278,New York,NY,40.715721,-74.00395,"40.715721,-74.00395"
728,11230,Brooklyn,NY,40.622994,-73.96427,"40.622994,-73.96427"
731,11106,Astoria,NY,40.762012,-73.93146999999999,"40.762012,-73.93147"
760,10452,Bronx,NY,40.838745,-73.92234,"40.838745,-73.92234"
768,10471,Bronx,NY,40.900819,-73.90347,"40.900819,-73.90347"
772,10281,New York,NY,40.714643,-74.014958,"40.714643,-74.014958"
778,10014,New York,NY,40.734718,-74.00532,"40.734718,-74.00532"
780,10106,New York,NY,40.765243,-73.980438,"40.765243,-73.980438"
788,11040,New Hyde Park,NY,40.742901,-73.67895,"40.742901,-73.67895"
807,11109,Long Island City,NY,40.651378,-73.870779,"40.651378,-73.870779"
820,11229,Brooklyn,NY,40.599256,-73.94118,"40.599256,-73.94118"
830,11207,Brooklyn,NY,40.670874,-73.89424,"40.670874,-73.89424"
844,10034,New York,NY,40.867653000000004,-73.92,"40.867653,-73.92"
845,10038,New York,NY,40.709677,-74.00365,"40.709677,-74.00365"
846,11215,Brooklyn,NY,40.667508000000005,-73.9856,"40.667508,-73.9856"
851,10154,New York,NY,40.757985999999995,-73.97267,"40.757986,-73.97267"
870,11377,Woodside,NY,40.742869,-73.90377,"40.742869,-73.90377"
882,10172,New York,NY,40.755494,-73.97447,"40.755494,-73.97447"
884,11225,Brooklyn,NY,40.662892,-73.95509,"40.662892,-73.95509"
899,10023,New York,NY,40.776099,-73.98285,"40.776099,-73.98285"
900,11101,Long Island City,NY,40.745340999999996,-73.93907,"40.745341,-73.93907"
902,10035,New York,NY,40.802395000000004,-73.93359,"40.802395,-73.93359"
917,11429,Queens Village,NY,40.708833,-73.73903,"40.708833,-73.73903"
918,10467,Bronx,NY,40.872265000000006,-73.86936999999999,"40.872265,-73.86937"
929,11231,Brooklyn,NY,40.6788,-74.00254,"40.6788,-74.00254"
941,10013,New York,NY,40.720665999999994,-74.00525999999999,"40.720666,-74.00526"
956,10152,New York,NY,40.758611,-73.97223000000001,"40.758611,-73.97223"
969,10031,New York,NY,40.826201,-73.94879,"40.826201,-73.94879"
