,MODZCTA,Positive,Total,zcta_cum.perc_pos,Zip,City,State,Latitude,Longitude,geopoint,0,id,Geographic Area Name,Total_HOUSEHOLD SIZE,1-person household,2-person household,3-person household,4-person household,5-person household,6-person household,7-or-more-person household
0,10001.0,231,480,48.12,10001,New York,NY,40.750741999999995,-73.99653,"40.750742,-73.99653",1455,8710000US3610001,"ZCTA5 10001, New York",11031,53.44,31.22,8.87,4.4,1.21,0.61,0.26
1,10002.0,578,1094,52.83,10002,New York,NY,40.717040000000004,-73.987,"40.71704,-73.987",912,8710000US3610002,"ZCTA5 10002, New York",32925,35.53,29.4,14.27,10.15,5.38,2.57,2.7
2,10003.0,290,692,41.91,10003,New York,NY,40.732509,-73.98935,"40.732509,-73.98935",960,8710000US3610003,"ZCTA5 10003, New York",28559,56.26,30.82,8.24,3.63,0.79,0.18,0.08
3,10005.0,40,122,32.79,10005,New York,NY,40.706019,-74.00858000000001,"40.706019,-74.00858",1652,8710000US3610005,"ZCTA5 10005, New York",4251,50.04,37.07,9.1,3.13,0.54,0.09,0.02
4,10006.0,11,46,23.91,10006,New York,NY,40.707904,-74.01342,"40.707904,-74.01342",55,8710000US3610006,"ZCTA5 10006, New York",1791,49.58,37.52,9.21,2.85,0.56,0.28,0.0
5,10007.0,35,112,31.25,10007,New York,NY,40.714754,-74.00721,"40.714754,-74.00721",86,8710000US3610007,"ZCTA5 10007, New York",2840,37.04,33.94,14.58,11.27,2.82,0.35,0.0
6,10009.0,407,918,44.34,10009,New York,NY,40.727093,-73.97864,"40.727093,-73.97864",1196,8710000US3610009,"ZCTA5 10009, New York",30182,42.52,32.84,14.21,6.66,2.24,0.87,0.66
7,10010.0,175,486,36.01,10010,New York,NY,40.739022,-73.98205,"40.739022,-73.98205",597,8710000US3610010,"ZCTA5 10010, New York",16556,53.24,32.13,9.21,4.23,0.85,0.25,0.1
8,10011.0,365,755,48.34,10011,New York,NY,40.741012,-74.00012,"40.741012,-74.00012",1587,8710000US3610011,"ZCTA5 10011, New York",30294,58.48,29.54,6.81,3.74,0.97,0.28,0.18
9,10012.0,101,293,34.47,10012,New York,NY,40.72596,-73.99834,"40.72596,-73.99834",1230,8710000US3610012,"ZCTA5 10012, New York",13338,52.62,32.7,8.43,4.5,1.19,0.33,0.22
