,MODZCTA,Positive,Total,zcta_cum.perc_pos,Zip,City,State,Latitude,Longitude,geopoint,0,id,Geographic Area Name,Total_SEX BY AGE,Male,Male!!Under 5 years,Male!!5 to 9 years,Male!!10 to 14 years,Male!!15 to 17 years,Male!!18 and 19 years,Male!!20 years,Male!!21 years,Male!!22 to 24 years,Male!!25 to 29 years,Male!!30 to 34 years,Male!!35 to 39 years,Male!!40 to 44 years,Male!!45 to 49 years,Male!!50 to 54 years,Male!!55 to 59 years,Male!!60 and 61 years,Male!!62 to 64 years,Male!!65 and 66 years,Male!!67 to 69 years,Male!!70 to 74 years,Male!!75 to 79 years,Male!!80 to 84 years,Male!!85 years and over,Female,Female!!Under 5 years,Female!!5 to 9 years,Female!!10 to 14 years,Female!!15 to 17 years,Female!!18 and 19 years,Female!!20 years,Female!!21 years,Female!!22 to 24 years,Female!!25 to 29 years,Female!!30 to 34 years,Female!!35 to 39 years,Female!!40 to 44 years,Female!!45 to 49 years,Female!!50 to 54 years,Female!!55 to 59 years,Female!!60 and 61 years,Female!!62 to 64 years,Female!!65 and 66 years,Female!!67 to 69 years,Female!!70 to 74 years,Female!!75 to 79 years,Female!!80 to 84 years,Female!!85 years and over
24,10029.0,889,1654,53.75,10029,New York,NY,40.791585999999995,-73.94575,"40.791586,-73.94575",468,8710000US3610029,"ZCTA5 10029, New York",76003,34808,2362,2269,2438,1735,1231,653,641,2236,3496,2840,2358,2137,2252,1957,1541,616,733,425,618,818,641,459,352,41195,2145,2226,2311,1674,1333,675,658,2219,3605,3037,2622,2784,2635,2681,2255,849,1236,702,1005,1510,1151,930,952
25,10030.0,289,467,61.88,10030,New York,NY,40.818151,-73.94351,"40.818151,-73.94351",353,8710000US3610030,"ZCTA5 10030, New York",26999,12560,862,825,887,631,412,207,212,648,1113,992,831,989,926,879,681,183,272,160,213,265,186,101,85,14439,875,772,869,618,422,255,227,782,1352,1192,1009,1088,1124,988,751,261,360,172,290,375,283,182,192
26,10031.0,660,1017,64.9,10031,New York,NY,40.826201,-73.94879,"40.826201,-73.94879",626,8710000US3610031,"ZCTA5 10031, New York",56438,27491,1553,1492,1558,1187,898,508,553,1870,3070,2478,2063,2006,1875,1634,1392,493,631,349,425,613,406,228,209,28947,1500,1349,1528,1041,814,493,474,1790,2982,2267,1903,1910,1998,1894,1687,668,808,482,645,976,648,569,521
27,10032.0,775,1262,61.41,10032,New York,NY,40.840686,-73.94154,"40.840686,-73.94154",1,8710000US3610032,"ZCTA5 10032, New York",57331,27659,1581,1379,1529,1139,900,457,482,1913,3087,2334,1878,1952,1865,1709,1533,590,651,347,526,714,498,354,241,29672,1421,1361,1454,1063,755,450,474,2091,2857,2160,1836,1863,1929,1974,1865,724,886,513,756,1097,805,654,684
28,10033.0,671,1080,62.13,10033,New York,NY,40.848764,-73.93496,"40.848764,-73.93496",869,8710000US3610033,"ZCTA5 10033, New York",53926,26461,1532,1299,1410,1057,919,681,690,1860,2525,2152,1872,1891,1775,1641,1461,538,701,381,491,610,423,323,229,27465,1470,1247,1346,954,696,379,440,1638,2418,2048,1836,1812,1842,1883,1855,720,904,453,641,963,726,578,616
29,10034.0,367,646,56.81,10034,New York,NY,40.867653000000004,-73.92,"40.867653,-73.92",1304,8710000US3610034,"ZCTA5 10034, New York",38908,18260,1210,1030,1107,760,527,258,273,945,1643,1572,1447,1449,1282,1237,1130,405,457,262,318,414,258,174,102,20648,1121,1001,1088,734,507,298,277,1049,1751,1670,1522,1506,1491,1474,1427,503,628,316,462,638,453,361,371
30,10035.0,475,852,55.75,10035,New York,NY,40.802395000000004,-73.93359,"40.802395,-73.93359",1072,8710000US3610035,"ZCTA5 10035, New York",33969,17014,1063,992,1088,757,603,315,333,895,1516,1351,1248,1260,1341,1164,904,279,358,199,271,437,296,194,150,16955,1000,944,984,747,509,272,261,840,1462,1320,1214,1186,1194,1147,846,314,415,267,362,541,433,325,372
31,10036.0,241,523,46.08,10036,New York,NY,40.759510999999996,-73.99019,"40.759511,-73.99019",1529,8710000US3610036,"ZCTA5 10036, New York",24711,13786,339,232,185,133,117,103,118,933,2068,1846,1374,1215,1202,1073,874,301,423,205,237,340,220,161,87,10925,295,213,178,127,161,116,123,985,1992,1360,843,690,661,656,699,246,326,178,203,283,206,201,183
32,10037.0,246,427,57.61,10037,New York,NY,40.813385,-73.93616,"40.813385,-73.93616",1043,8710000US3610037,"ZCTA5 10037, New York",17416,7307,424,434,478,307,219,105,111,359,611,522,461,521,528,488,380,171,203,127,184,228,169,122,155,10109,461,395,420,333,226,121,121,428,814,762,657,720,708,674,660,238,342,213,334,414,342,289,437
33,10038.0,159,314,50.64,10038,New York,NY,40.709677,-74.00365,"40.709677,-74.00365",555,8710000US3610038,"ZCTA5 10038, New York",20300,9410,404,296,293,171,385,186,153,900,1483,1012,726,571,511,436,404,183,214,112,145,226,222,183,194,10890,351,271,256,193,684,257,272,1036,1618,942,641,530,489,457,562,224,309,151,199,384,325,349,390
