,MODZCTA,Positive,Total,zcta_cum.perc_pos,Zip,City,State,Latitude,Longitude,geopoint,0,id,Geographic Area Name,Total_RACE,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races
55,10453.0,1234,1972,62.58,10453,Bronx,NY,40.853017,-73.91214000000001,"40.853017,-73.91214",1335,8710000US3610453,"ZCTA5 10453, New York",78309,13623,30028,1345,1068,85,27328,4832
56,10454.0,583,925,63.03,10454,Bronx,NY,40.805968,-73.91628,"40.805968,-73.91628",918,8710000US3610454,"ZCTA5 10454, New York",37337,8954,11809,865,217,28,13220,2244
57,10455.0,626,998,62.73,10455,Bronx,NY,40.815559,-73.90771,"40.815559,-73.90771",1133,8710000US3610455,"ZCTA5 10455, New York",39665,9865,12119,709,252,27,14200,2493
58,10456.0,1250,2024,61.76,10456,Bronx,NY,40.829676,-73.90856,"40.829676,-73.90856",212,8710000US3610456,"ZCTA5 10456, New York",86547,13330,41893,1305,895,235,23842,5047
59,10457.0,1069,1704,62.73,10457,Bronx,NY,40.846745,-73.89860999999999,"40.846745,-73.89861",264,8710000US3610457,"ZCTA5 10457, New York",70496,14296,26988,1159,1164,82,22520,4287
60,10458.0,1060,1813,58.47,10458,Bronx,NY,40.864166,-73.88880999999999,"40.864166,-73.88881",658,8710000US3610458,"ZCTA5 10458, New York",79492,23623,20629,1314,3180,73,26010,4663
61,10459.0,808,1296,62.35,10459,Bronx,NY,40.825432,-73.89327,"40.825432,-73.89327",698,8710000US3610459,"ZCTA5 10459, New York",47308,11017,16735,906,394,50,14975,3231
62,10460.0,847,1427,59.36,10460,Bronx,NY,40.84095,-73.88036,"40.84095,-73.88036",359,8710000US3610460,"ZCTA5 10460, New York",57311,14145,20860,985,836,58,17172,3255
63,10461.0,1083,2014,53.77,10461,Bronx,NY,40.842917,-73.83819,"40.842917,-73.83819",1329,8710000US3610461,"ZCTA5 10461, New York",50502,29872,4335,332,5323,24,8684,1932
64,10462.0,1284,2306,55.68,10462,Bronx,NY,40.842172999999995,-73.85862,"40.842173,-73.85862",625,8710000US3610462,"ZCTA5 10462, New York",75784,24489,22417,742,8231,58,15748,4099
65,10463.0,964,1965,49.06,10463,Bronx,NY,40.881085999999996,-73.90749,"40.881086,-73.90749",56,8710000US3610463,"ZCTA5 10463, New York",67970,34861,11200,552,2992,34,14966,3365
66,10464.0,79,203,38.92,10464,Bronx,NY,40.857017,-73.78903000000001,"40.857017,-73.78903",1519,8710000US3610464,"ZCTA5 10464, New York",4534,3855,176,23,140,7,230,103
67,10465.0,927,1906,48.64,10465,Bronx,NY,40.825727,-73.81752,"40.825727,-73.81752",1589,8710000US3610465,"ZCTA5 10465, New York",42230,29223,4536,268,1300,26,5499,1378
68,10466.0,1361,2284,59.59,10466,Bronx,NY,40.89095,-73.84702,"40.89095,-73.84702",117,8710000US3610466,"ZCTA5 10466, New York",67813,6808,49304,578,1558,50,7171,2344
69,10467.0,1918,3135,61.18,10467,Bronx,NY,40.872265000000006,-73.86936999999999,"40.872265,-73.86937",709,8710000US3610467,"ZCTA5 10467, New York",97060,25817,37745,1182,6252,61,21202,4801
70,10468.0,1343,2033,66.06,10468,Bronx,NY,40.867107,-73.89916,"40.867107,-73.89916",1036,8710000US3610468,"ZCTA5 10468, New York",76103,18858,19724,1280,3541,52,27494,5154
71,10469.0,1670,2688,62.13,10469,Bronx,NY,40.868643,-73.84735,"40.868643,-73.84735",341,8710000US3610469,"ZCTA5 10469, New York",66631,15090,39318,426,2742,40,6876,2139
72,10470.0,279,510,54.71,10470,Bronx,NY,40.900628999999995,-73.86072,"40.900629,-73.86072",201,8710000US3610470,"ZCTA5 10470, New York",15293,7411,5477,120,553,4,1206,522
73,10471.0,319,716,44.55,10471,Bronx,NY,40.900819,-73.90347,"40.900819,-73.90347",1636,8710000US3610471,"ZCTA5 10471, New York",22922,16706,2430,79,1354,5,1600,748
74,10472.0,1014,1568,64.67,10472,Bronx,NY,40.830409,-73.86845,"40.830409,-73.86845",903,8710000US3610472,"ZCTA5 10472, New York",66358,16515,20449,991,4064,81,20311,3947
75,10473.0,1143,1940,58.92,10473,Bronx,NY,40.818514,-73.85893,"40.818514,-73.85893",1628,8710000US3610473,"ZCTA5 10473, New York",58519,13707,25819,716,972,65,13935,3305
76,10474.0,182,283,64.31,10474,Bronx,NY,40.81321,-73.88755,"40.81321,-73.88755",285,8710000US3610474,"ZCTA5 10474, New York",12281,2832,4231,197,128,11,4040,842
77,10475.0,1021,1825,55.95,10475,Bronx,NY,40.878522,-73.82540999999999,"40.878522,-73.82541",1208,8710000US3610475,"ZCTA5 10475, New York",40931,8822,26034,213,527,18,3753,1564
78,11004.0,348,547,63.62,11004,Glen Oaks,NY,40.742944,-73.70956,"40.742944,-73.70956",1783,8710000US3611004,"ZCTA5 11004, New York",14016,7004,887,53,5109,5,406,552
79,11101.0,364,707,51.49,11101,Long Island City,NY,40.745340999999996,-73.93907,"40.745341,-73.93907",1394,8710000US3611101,"ZCTA5 11101, New York",25484,10840,5299,179,4083,18,3945,1120
80,11102.0,326,579,56.3,11102,Astoria,NY,40.771285999999996,-73.92461999999999,"40.771286,-73.92462",1215,8710000US3611102,"ZCTA5 11102, New York",34133,19025,3347,302,5223,20,4815,1401
81,11103.0,313,563,55.6,11103,Astoria,NY,40.762968,-73.91091,"40.762968,-73.91091",101,8710000US3611103,"ZCTA5 11103, New York",38780,26325,740,220,5520,20,4544,1411
82,11104.0,279,465,60.0,11104,Sunnyside,NY,40.743796,-73.91949,"40.743796,-73.91949",161,8710000US3611104,"ZCTA5 11104, New York",27232,14769,591,179,7074,9,3397,1213
83,11105.0,300,596,50.34,11105,Astoria,NY,40.774685999999996,-73.90816,"40.774686,-73.90816",1410,8710000US3611105,"ZCTA5 11105, New York",36688,27698,797,98,4119,21,2655,1300
84,11106.0,360,674,53.41,11106,Astoria,NY,40.762012,-73.93146999999999,"40.762012,-73.93147",7,8710000US3611106,"ZCTA5 11106, New York",38875,21205,3469,222,7449,17,4895,1618
85,11109.0,38,106,35.85,11109,Long Island City,NY,40.651378,-73.870779,"40.651378,-73.870779",380,8710000US3611109,"ZCTA5 11109, New York",3523,2349,156,5,768,4,97,144
