,MODZCTA,Positive,Total,zcta_cum.perc_pos,Zip,City,State,Latitude,Longitude,geopoint,0,id,Geographic Area Name,Total_TOTAL POPULATION
60,10458.0,1759,3943,44.61,10458,Bronx,NY,40.864166,-73.88880999999999,"40.864166,-73.88881",658,8710000US3610458,"ZCTA5 10458, New York",79492
61,10459.0,1315,2719,48.36,10459,Bronx,NY,40.825432,-73.89327,"40.825432,-73.89327",698,8710000US3610459,"ZCTA5 10459, New York",47308
62,10460.0,1425,3100,45.97,10460,Bronx,NY,40.84095,-73.88036,"40.84095,-73.88036",359,8710000US3610460,"ZCTA5 10460, New York",57311
63,10461.0,1708,4019,42.5,10461,Bronx,NY,40.842917,-73.83819,"40.842917,-73.83819",1329,8710000US3610461,"ZCTA5 10461, New York",50502
64,10462.0,2010,4681,42.94,10462,Bronx,NY,40.842172999999995,-73.85862,"40.842173,-73.85862",625,8710000US3610462,"ZCTA5 10462, New York",75784
65,10463.0,1645,4050,40.62,10463,Bronx,NY,40.881085999999996,-73.90749,"40.881086,-73.90749",56,8710000US3610463,"ZCTA5 10463, New York",67970
66,10464.0,114,363,31.4,10464,Bronx,NY,40.857017,-73.78903000000001,"40.857017,-73.78903",1519,8710000US3610464,"ZCTA5 10464, New York",4534
67,10465.0,1365,3606,37.85,10465,Bronx,NY,40.825727,-73.81752,"40.825727,-73.81752",1589,8710000US3610465,"ZCTA5 10465, New York",42230
68,10466.0,2108,4511,46.73,10466,Bronx,NY,40.89095,-73.84702,"40.89095,-73.84702",117,8710000US3610466,"ZCTA5 10466, New York",67813
69,10467.0,2952,6235,47.35,10467,Bronx,NY,40.872265000000006,-73.86936999999999,"40.872265,-73.86937",709,8710000US3610467,"ZCTA5 10467, New York",97060
70,10468.0,2153,4313,49.92,10468,Bronx,NY,40.867107,-73.89916,"40.867107,-73.89916",1036,8710000US3610468,"ZCTA5 10468, New York",76103
71,10469.0,2600,5379,48.34,10469,Bronx,NY,40.868643,-73.84735,"40.868643,-73.84735",341,8710000US3610469,"ZCTA5 10469, New York",66631
72,10470.0,398,955,41.68,10470,Bronx,NY,40.900628999999995,-73.86072,"40.900629,-73.86072",201,8710000US3610470,"ZCTA5 10470, New York",15293
73,10471.0,535,1385,38.63,10471,Bronx,NY,40.900819,-73.90347,"40.900819,-73.90347",1636,8710000US3610471,"ZCTA5 10471, New York",22922
