,MODZCTA,Positive,Total,zcta_cum.perc_pos,Zip,City,State,Latitude,Longitude,geopoint,Below Poverty Level - All people,Below Poverty Level - Under 18 years,Below Poverty Level - Related children of the householder under 18 years,Below Poverty Level - Related children of the householder under 5 years,Below Poverty Level - Related children of the householder 5 to 17 years,Below Poverty Level - 18 years and over,Below Poverty Level - 18 to 64 years,Below Poverty Level - 65 years and over
112,11229.0,1341,3204,41.85,11229,Brooklyn,NY,40.599256,-73.94118,"40.599256,-73.94118",16.1,21.2,21.2,22.0,20.9,14.8,13.7,18.9
113,11230.0,1980,4379,45.22,11230,Brooklyn,NY,40.622994,-73.96427,"40.622994,-73.96427",24.1,29.2,29.1,32.5,27.5,22.2,21.1,26.3
114,11231.0,364,931,39.1,11231,Brooklyn,NY,40.6788,-74.00254,"40.6788,-74.00254",14.8,17.0,17.0,5.3,23.8,14.3,12.6,25.7
115,11232.0,429,818,52.44,11232,Brooklyn,NY,40.655481,-74.00424,"40.655481,-74.00424",27.6,41.2,40.6,47.3,38.1,23.5,23.3,25.5
116,11233.0,1102,2420,45.54,11233,Brooklyn,NY,40.676938,-73.91858,"40.676938,-73.91858",29.8,39.8,39.6,41.3,38.9,26.5,26.1,28.7
117,11234.0,2020,4387,46.05,11234,Brooklyn,NY,40.618561,-73.9216,"40.618561,-73.9216",8.9,11.5,11.3,11.0,11.4,8.1,8.3,7.5
118,11235.0,1743,3800,45.87,11235,Brooklyn,NY,40.583803,-73.95019,"40.583803,-73.95019",20.5,23.5,23.3,25.0,22.5,19.9,15.8,31.6
119,11236.0,2337,4731,49.4,11236,Brooklyn,NY,40.640527,-73.90361999999999,"40.640527,-73.90362",14.0,21.2,21.0,22.1,20.6,12.0,11.5,14.7
120,11237.0,805,1595,50.47,11237,Brooklyn,NY,40.703355,-73.91993000000001,"40.703355,-73.91993",30.8,45.6,45.2,44.7,45.4,26.6,26.2,31.6
121,11238.0,657,1582,41.53,11238,Brooklyn,NY,40.680145,-73.96257,"40.680145,-73.96257",13.9,12.6,12.4,10.8,13.3,14.1,13.2,19.7
122,11239.0,439,969,45.3,11239,Brooklyn,NY,40.645848,-73.87919000000001,"40.645848,-73.87919",30.9,36.0,36.0,44.6,32.9,29.9,22.6,43.0
123,11354.0,951,1973,48.2,11354,Flushing,NY,40.767969,-73.82496,"40.767969,-73.82496",21.6,26.1,26.1,23.1,27.5,20.7,20.5,21.6
124,11355.0,1084,2227,48.68,11355,Flushing,NY,40.749463,-73.81940999999999,"40.749463,-73.81941",23.1,27.6,27.3,26.3,27.7,22.2,21.2,26.4
125,11356.0,482,1070,45.05,11356,College Point,NY,40.785462,-73.84366,"40.785462,-73.84366",12.7,15.3,15.0,8.7,18.3,11.9,11.5,14.1
126,11357.0,710,1666,42.62,11357,Whitestone,NY,40.784453000000006,-73.80922,"40.784453,-73.80922",5.5,4.1,3.8,3.9,3.8,5.8,5.5,6.7
127,11358.0,500,1250,40.0,11358,Flushing,NY,40.760521999999995,-73.79612,"40.760522,-73.79612",9.9,9.8,9.3,5.8,10.6,9.9,9.6,11.0
128,11360.0,288,796,36.18,11360,Bayside,NY,40.780386,-73.78005,"40.780386,-73.78005",6.3,5.6,5.6,0.0,8.0,6.4,5.8,7.8
129,11361.0,394,983,40.08,11361,Bayside,NY,40.763177,-73.77391999999999,"40.763177,-73.77392",7.9,10.1,9.9,9.9,9.9,7.4,7.9,5.0
130,11362.0,275,706,38.95,11362,Little Neck,NY,40.759686,-73.73321999999999,"40.759686,-73.73322",7.2,5.8,5.8,5.0,6.1,7.5,8.4,4.7
131,11363.0,90,250,36.0,11363,Little Neck,NY,40.772636,-73.74644,"40.772636,-73.74644",8.5,14.4,14.4,18.9,13.0,6.8,6.9,6.4
132,11364.0,422,1127,37.44,11364,Oakland Gardens,NY,40.746718,-73.75994,"40.746718,-73.75994",8.0,7.5,7.5,3.4,9.0,8.1,7.8,9.2
133,11365.0,741,1729,42.86,11365,Fresh Meadows,NY,40.738983000000005,-73.79209,"40.738983,-73.79209",13.9,19.3,19.3,27.3,14.9,12.4,12.5,12.1
134,11366.0,354,793,44.64,11366,Fresh Meadows,NY,40.726137,-73.79502,"40.726137,-73.79502",13.6,16.5,16.5,14.7,17.3,12.9,13.7,9.7
135,11367.0,903,2129,42.41,11367,Flushing,NY,40.728614,-73.82145,"40.728614,-73.82145",13.3,16.3,16.3,13.9,17.9,12.4,12.6,11.6
136,11368.0,3774,6304,59.87,11368,Corona,NY,40.747106,-73.85838000000001,"40.747106,-73.85838",21.7,28.6,28.2,24.9,30.0,19.2,19.1,20.5
137,11369.0,1376,2486,55.35,11369,East Elmhurst,NY,40.762854,-73.87051,"40.762854,-73.87051",17.0,25.9,25.5,23.0,26.6,14.7,14.9,13.5
138,11370.0,1225,2409,50.85,11370,East Elmhurst,NY,40.763015,-73.89052,"40.763015,-73.89052",17.7,29.2,29.1,28.6,29.3,14.8,14.7,15.2
139,11372.0,2179,3912,55.7,11372,Jackson Heights,NY,40.750146,-73.88433,"40.750146,-73.88433",16.5,19.3,19.3,18.5,19.7,15.9,15.0,20.1
140,11373.0,2836,5328,53.23,11373,Elmhurst,NY,40.736076000000004,-73.87804,"40.736076,-73.87804",20.3,27.0,26.9,24.8,28.0,18.7,18.4,20.4
141,11374.0,945,2241,42.17,11374,Rego Park,NY,40.724945,-73.8609,"40.724945,-73.8609",15.1,18.1,18.1,13.5,20.5,14.6,13.5,18.2
142,11375.0,1379,3265,42.24,11375,Forest Hills,NY,40.720535,-73.84581999999999,"40.720535,-73.84582",9.7,9.4,8.8,7.7,9.5,9.8,8.4,14.6
143,11377.0,1867,3959,47.16,11377,Woodside,NY,40.742869,-73.90377,"40.742869,-73.90377",15.1,20.2,20.0,21.5,19.3,13.9,14.0,12.9
144,11378.0,651,1512,43.06,11378,Maspeth,NY,40.724096,-73.90271,"40.724096,-73.90271",10.8,14.3,12.6,12.6,12.7,9.9,9.6,11.2
145,11379.0,709,1679,42.23,11379,Middle Village,NY,40.716028,-73.87925,"40.716028,-73.87925",8.7,8.9,8.2,9.6,7.7,8.7,8.8,8.2
146,11385.0,1849,4004,46.18,11385,Ridgewood,NY,40.703069,-73.89285,"40.703069,-73.89285",14.3,21.3,21.2,19.9,21.7,12.3,12.2,13.1
147,11411.0,612,1215,50.37,11411,Cambria Heights,NY,40.693538000000004,-73.73574,"40.693538,-73.73574",3.6,3.4,2.8,1.2,3.3,3.7,3.2,5.0
148,11412.0,1134,2249,50.42,11412,Saint Albans,NY,40.697188,-73.75948000000001,"40.697188,-73.75948",9.4,14.4,13.9,18.3,12.3,7.9,8.0,7.7
149,11413.0,1168,2402,48.63,11413,Springfield Gardens,NY,40.670138,-73.75140999999999,"40.670138,-73.75141",7.0,9.6,9.2,8.0,9.6,6.3,6.0,7.4
150,11414.0,732,1521,48.13,11414,Howard Beach,NY,40.658188,-73.84321,"40.658188,-73.84321",10.7,12.5,12.3,15.3,11.2,10.2,11.1,7.8
151,11415.0,460,1029,44.7,11415,Kew Gardens,NY,40.706903000000004,-73.82973,"40.706903,-73.82973",12.1,15.5,15.0,18.3,13.5,11.2,10.5,14.5
152,11416.0,608,1185,51.31,11416,Ozone Park,NY,40.683301,-73.8503,"40.683301,-73.8503",16.7,24.8,24.8,20.1,26.6,14.0,14.0,14.0
153,11417.0,779,1602,48.63,11417,Ozone Park,NY,40.675534000000006,-73.84476,"40.675534,-73.84476",15.1,20.9,20.7,19.6,21.1,13.5,13.1,15.8
154,11418.0,932,2010,46.37,11418,Richmond Hill,NY,40.698485,-73.83365,"40.698485,-73.83365",16.5,20.7,20.3,19.2,20.7,15.2,15.4,13.0
155,11419.0,1014,2070,48.99,11419,South Richmond Hill,NY,40.688688,-73.82216,"40.688688,-73.82216",15.9,23.0,22.7,24.8,21.9,14.1,14.3,12.4
156,11420.0,1196,2500,47.84,11420,South Ozone Park,NY,40.673138,-73.81443,"40.673138,-73.81443",13.9,20.0,19.6,19.1,19.8,12.2,12.6,9.6
157,11421.0,1037,2123,48.85,11421,Woodhaven,NY,40.690870000000004,-73.85828000000001,"40.69087,-73.85828",12.9,19.5,19.2,19.8,19.0,11.0,10.8,11.7
158,11422.0,869,1849,47.0,11422,Rosedale,NY,40.662538,-73.73514,"40.662538,-73.73514",7.7,10.8,10.0,11.9,9.2,6.9,6.8,7.5
