,MODZCTA,Positive,Total,zcta_cum.perc_pos,Zip,City,State,Latitude,Longitude,geopoint,0,id,Geographic Area Name,Total_RACE,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races
108,11224.0,960,2132,45.03,11224,Brooklyn,NY,40.576589,-73.99172,"40.576589,-73.99172",1126,8710000US3611224,"ZCTA5 11224, New York",47621,59.33,24.78,0.52,5.99,0.03,6.75,2.59
109,11225.0,1016,2257,45.02,11225,Brooklyn,NY,40.662892,-73.95509,"40.662892,-73.95509",249,8710000US3611225,"ZCTA5 11225, New York",56829,16.54,75.25,0.42,1.5,0.04,3.32,2.93
110,11226.0,1894,3987,47.5,11226,Brooklyn,NY,40.645255999999996,-73.95553000000001,"40.645256,-73.95553",1777,8710000US3611226,"ZCTA5 11226, New York",101572,9.86,75.66,0.54,2.97,0.04,7.72,3.21
111,11228.0,571,1390,41.08,11228,Brooklyn,NY,40.617563,-74.01168,"40.617563,-74.01168",1646,8710000US3611228,"ZCTA5 11228, New York",41788,68.14,0.68,0.19,24.44,0.04,4.79,1.72
112,11229.0,1341,3204,41.85,11229,Brooklyn,NY,40.599256,-73.94118,"40.599256,-73.94118",1113,8710000US3611229,"ZCTA5 11229, New York",80018,71.27,5.48,0.18,18.24,0.02,3.01,1.81
113,11230.0,1980,4379,45.22,11230,Brooklyn,NY,40.622994,-73.96427,"40.622994,-73.96427",1125,8710000US3611230,"ZCTA5 11230, New York",86408,71.35,8.38,0.36,12.95,0.03,4.99,1.94
114,11231.0,364,931,39.1,11231,Brooklyn,NY,40.6788,-74.00254,"40.6788,-74.00254",492,8710000US3611231,"ZCTA5 11231, New York",33336,68.85,15.04,0.53,4.24,0.04,7.3,3.98
115,11232.0,429,818,52.44,11232,Brooklyn,NY,40.655481,-74.00424,"40.655481,-74.00424",725,8710000US3611232,"ZCTA5 11232, New York",28265,42.78,7.32,2.06,16.16,0.1,25.72,5.87
116,11233.0,1102,2420,45.54,11233,Brooklyn,NY,40.676938,-73.91858,"40.676938,-73.91858",1715,8710000US3611233,"ZCTA5 11233, New York",67053,5.41,84.77,0.7,0.86,0.03,5.36,2.88
117,11234.0,2020,4387,46.05,11234,Brooklyn,NY,40.618561,-73.9216,"40.618561,-73.9216",325,8710000US3611234,"ZCTA5 11234, New York",87757,47.83,42.19,0.29,4.68,0.02,2.78,2.21
