,MODZCTA,Positive,Total,zcta_cum.perc_pos,Zip,City,State,Latitude,Longitude,geopoint,With health insurance coverage,With private health insurance,With public coverage,No health insurance coverage
67,10465.0,1365,3606,37.85,10465,Bronx,NY,40.825727,-73.81752,"40.825727,-73.81752",92.9,69.8,35.8,7.1
68,10466.0,2108,4511,46.73,10466,Bronx,NY,40.89095,-73.84702,"40.89095,-73.84702",88.2,54.3,43.3,11.8
69,10467.0,2952,6235,47.35,10467,Bronx,NY,40.872265000000006,-73.86936999999999,"40.872265,-73.86937",86.6,44.9,53.8,13.4
70,10468.0,2153,4313,49.92,10468,Bronx,NY,40.867107,-73.89916,"40.867107,-73.89916",84.6,32.6,56.4,15.4
71,10469.0,2600,5379,48.34,10469,Bronx,NY,40.868643,-73.84735,"40.868643,-73.84735",90.3,61.6,40.4,9.7
72,10470.0,398,955,41.68,10470,Bronx,NY,40.900628999999995,-73.86072,"40.900629,-73.86072",89.9,64.1,37.5,10.1
73,10471.0,535,1385,38.63,10471,Bronx,NY,40.900819,-73.90347,"40.900819,-73.90347",95.0,77.8,29.2,5.0
74,10472.0,1694,3365,50.34,10472,Bronx,NY,40.830409,-73.86845,"40.830409,-73.86845",83.0,39.7,57.6,17.0
75,10473.0,1709,3859,44.29,10473,Bronx,NY,40.818514,-73.85893,"40.818514,-73.85893",91.6,52.4,53.3,8.4
76,10474.0,286,645,44.34,10474,Bronx,NY,40.81321,-73.88755,"40.81321,-73.88755",83.0,26.6,61.7,17.0
77,10475.0,1545,3807,40.58,10475,Bronx,NY,40.878522,-73.82540999999999,"40.878522,-73.82541",94.7,68.6,41.8,5.3
78,11004.0,515,943,54.61,11004,Glen Oaks,NY,40.742944,-73.70956,"40.742944,-73.70956",94.4,80.3,24.9,5.6
79,11101.0,542,1450,37.38,11101,Long Island City,NY,40.745340999999996,-73.93907,"40.745341,-73.93907",88.9,56.6,38.6,11.1
80,11102.0,528,1235,42.75,11102,Astoria,NY,40.771285999999996,-73.92461999999999,"40.771286,-73.92462",85.4,55.4,36.6,14.6
81,11103.0,465,1169,39.78,11103,Astoria,NY,40.762968,-73.91091,"40.762968,-73.91091",84.1,58.8,31.2,15.9
82,11104.0,418,1006,41.55,11104,Sunnyside,NY,40.743796,-73.91949,"40.743796,-73.91949",82.6,53.6,34.1,17.4
83,11105.0,433,1247,34.72,11105,Astoria,NY,40.774685999999996,-73.90816,"40.774686,-73.90816",88.6,67.3,28.8,11.4
84,11106.0,560,1383,40.49,11106,Astoria,NY,40.762012,-73.93146999999999,"40.762012,-73.93147",87.2,61.6,33.7,12.8
85,11109.0,46,191,24.08,11109,Long Island City,NY,40.651378,-73.870779,"40.651378,-73.870779",89.5,88.8,5.3,10.5
86,11201.0,544,1756,30.98,11201,Brooklyn,NY,40.695285999999996,-73.98907,"40.695286,-73.98907",93.1,79.2,21.2,6.9
87,11203.0,1771,3732,47.45,11203,Brooklyn,NY,40.649059,-73.93304,"40.649059,-73.93304",88.7,52.8,43.2,11.3
88,11204.0,1705,3826,44.56,11204,Brooklyn,NY,40.618944,-73.98473,"40.618944,-73.98473",90.4,42.3,54.4,9.6
89,11205.0,613,1738,35.27,11205,Brooklyn,NY,40.694214,-73.96529,"40.694214,-73.96529",91.4,49.3,49.2,8.6
90,11206.0,1315,3096,42.47,11206,Brooklyn,NY,40.702348,-73.94288,"40.702348,-73.94288",88.8,41.5,55.6,11.2
91,11207.0,1745,3876,45.02,11207,Brooklyn,NY,40.670874,-73.89424,"40.670874,-73.89424",89.1,43.3,53.0,10.9
92,11208.0,1953,3945,49.51,11208,Brooklyn,NY,40.672666,-73.87248000000001,"40.672666,-73.87248",90.1,48.6,46.3,9.9
93,11209.0,985,2658,37.06,11209,Brooklyn,NY,40.62327,-74.0295,"40.62327,-74.0295",91.5,66.3,34.8,8.5
94,11210.0,1466,3177,46.14,11210,Brooklyn,NY,40.627946,-73.94552,"40.627946,-73.94552",93.1,61.6,39.3,6.9
95,11211.0,1769,4235,41.77,11211,Brooklyn,NY,40.71209,-73.95427,"40.71209,-73.95427",91.3,53.8,44.9,8.7
96,11212.0,1534,3413,44.95,11212,Brooklyn,NY,40.662191,-73.91328,"40.662191,-73.91328",89.0,40.4,57.5,11.0
97,11213.0,1215,2650,45.85,11213,Brooklyn,NY,40.670937,-73.93459,"40.670937,-73.93459",87.3,51.7,47.1,12.7
98,11214.0,1316,2949,44.63,11214,Brooklyn,NY,40.598994,-73.99611,"40.598994,-73.99611",87.8,45.8,48.5,12.2
99,11215.0,536,1688,31.75,11215,Brooklyn,NY,40.667508000000005,-73.9856,"40.667508,-73.9856",93.6,83.3,16.5,6.4
100,11216.0,617,1599,38.59,11216,Brooklyn,NY,40.680398,-73.94824,"40.680398,-73.94824",87.6,59.6,35.0,12.4
101,11217.0,494,1190,41.51,11217,Brooklyn,NY,40.68209,-73.97783000000001,"40.68209,-73.97783",92.8,74.3,25.5,7.2
